id	M	Y	Z	alpha	diffusion	settling	eta	overshoot	undershoot	overexp	underexp	age	M_current	mass_cc	h_exh_core_mass	h_exh_core_radius	radius_cc	cz_mass	cz_radius	mass_X	mass_Y	log_LH	log_LHe	log_center_T	log_center_Rho	log_center_P	center_mu	center_degeneracy	Teff	log_Teff	L	log_L	radius	log_R	log_g	Fe_H	acoustic_cutoff	acoustic_radius	surface_mu	delta_Pg_asym	nu_max	delta_nu_asym	X_c	Y_c	Li_c	Be_c	B_c	C_c	N_c	O_c	F_c	Ne_c	Mg_c	X_surf	Y_surf	Li_surf	Be_surf	B_surf	C_surf	N_surf	O_surf	F_surf	Ne_surf	Mg_surf	nu_0_1	nu_0_2	nu_0_3	nu_0_4	nu_0_5	E_0_1	E_0_2	E_0_3	E_0_4	E_0_5	lg_X_c	lg_Y_c	ev_stage	ev_tau
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15098011571199	2.172791	0.0623045054312619	0	0	0.0286300844608361	0.999999952819048	0.985919914454851	0.57072975562175	0.400650004432453	1.49913705677454	-29.7019207407899	7.46796602749154	2.06277131315083	17.3289678242149	1.33387945580338	-3.08517931291732	6505.6987531113	3.81329394937153	32.4811157871176	1.51163093965365	4.48622170223495	0.651880731948268	3.47132411710309	0.180267115863192	70.6883046155885	23153.8874299638	1.26137362161304	4592.61898959968	315.371462948442	21.5946458888343	0.00478044016111796	0.967128287949799	0	0	0	0.000162935749413506	0.01686756956551	0.00221881318316775	0	0.0029916817539966	0.00113487968952058	0.736249122561825	0.238182924349125	0	0	0	0.00441694384367361	0.00129395604092197	0.0118419714290561	0	0.00264612165403366	0.00101413004348194	53.8530700721938	70.0747773169619	87.8604905927458	105.787153670013	123.256597873282	2.54411681435959e-05	4.13377715616538e-06	9.45542951306975e-07	2.94973861036961e-07	1.45516233933983e-07	-2.32053211369251	-0.0145159136591959	2	2.25
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15186116916617	2.172791	0.0603238059362222	0	0	0.0280155786821643	0.999999956384721	0.9857514299803	0.570600473013234	0.400779474529233	1.50541041446413	-29.1884797712565	7.47621435951987	2.08896170567785	17.3624436066575	1.33695010338736	-3.05446221937288	6598.72473055009	3.8194600119056	33.4355899662024	1.52420899066754	4.42422934879896	0.645837632387069	3.48341031622548	0.180262020409343	71.6425854272444	22726.5674203459	1.26091775711396	4416.15967826097	321.977527136834	22.0006827582935	0.00333895455219867	0.968571700194166	0	0	0	0.000167519586341597	0.016870473004259	0.0022093935152868	0	0.00299168334638535	0.00113488031832199	0.736252174448473	0.238180066459674	0	0	0	0.00441690596459246	0.00129394060739513	0.0118418442675799	0	0.00264609707842455	0.00101412147503623	55.0789131730741	71.6090011576814	89.7952084207233	108.14680651055	125.981524623681	2.47231355362234e-05	3.98489562224317e-06	9.05364150765447e-07	2.77756145062847e-07	1.33632455456749e-07	-2.4763894922555	-0.0138682243552059	2	2.28125
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15249001860855	2.172791	0.057990276705799	0	0	0.0274229697717464	0.999999959660663	0.985631612237289	0.570507209474381	0.40087290581826	1.5102264630427	-28.653591726807	7.48473071936551	2.11765458867234	17.3989518424413	1.33921127865947	-3.01844278983651	6698.21241528716	3.82595891587096	34.5079089404287	1.5379186433498	4.36209029090969	0.639694650797475	3.49569627940467	0.180262020409343	72.5236842113451	22301.3221891112	1.26032169168344	4229.1251980469	328.747206981494	22.4201953480645	0.00228000545578689	0.969632349258176	0	0	0	0.000172314656526236	0.0168711788066503	0.0022021928763809	0	0.00299168327106217	0.00113488029057678	0.736252174448473	0.238180066459674	0	0	0	0.00441690596459246	0.00129394060739513	0.0118418442675799	0	0.00264609707842455	0.00101412147503623	56.3504392334483	73.2002135674724	91.8025294478748	110.597664376756	128.817441387504	2.39917236983071e-05	3.83569551214037e-06	8.66165880045675e-07	2.61533210328797e-07	1.22725900396375e-07	-2.64206411378231	-0.013392903831707	2	2.3125
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15289441558037	2.172791	0.0553544282284942	0	0	0.0266536775518667	0.999999962299163	0.985552261767099	0.570446930776142	0.400933320494234	1.51235503447352	-28.1616467575791	7.49253346416637	2.14614487302608	17.4347838657095	1.34070269966012	-2.97999721283855	6790.06088718784	3.83187366866211	35.5756094693679	1.55115234900695	4.31004692043662	0.634481998043747	3.50612158491213	0.180262020409343	73.153562319036	21948.3500174351	1.25964552694732	4067.38886506508	334.449076339419	22.7807557106942	0.00158254446453105	0.97033116808415	0	0	0	0.000176758976385669	0.0168703131558804	0.00219725638787316	0	0.00299168326535313	0.00113488028847391	0.736252174448473	0.238180066459674	0	0	0	0.00441690596459246	0.00129394060739513	0.0118418442675799	0	0.00264609707842455	0.00101412147503623	57.4512104852761	74.5777450532336	93.5415017154137	112.723187856103	131.280968869855	2.33316727362568e-05	3.70437523694134e-06	8.32463496754759e-07	2.4807360328084e-07	1.13980081825106e-07	-2.80064407882771	-0.0130800183878474	2	2.34375
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15319107181977	2.172791	0.0518966860239721	0	0	0.0256578214286926	0.999999964625769	0.9853239005311	0.570402831386429	0.400977545030508	1.51131941687162	-27.6554476518805	7.50050360018394	2.17850522680206	17.4747643693083	1.34181553193954	-2.93287196090351	6882.64836683845	3.8377555821002	36.7513561677461	1.56527336968692	4.26362187271595	0.629778681507559	3.51552821798451	0.180262020409343	73.5762050209704	21636.6799490355	1.25881595662637	3870.27434062564	339.465526482496	23.1089058569861	0.0010624779773303	0.970852478933102	0	0	0	0.00018135416790542	0.0168683015492851	0.00219342844211173	0	0.00299168326499377	0.00113488028834154	0.736252174448473	0.238180066459674	0	0	0	0.00441690596459246	0.00129394060739513	0.0118418442675799	0	0.00264609707842455	0.00101412147503623	58.4629310670415	75.8438950737406	95.1415989958124	114.681360530749	133.553763765836	2.26699288924703e-05	3.57666323312111e-06	8.00325594260779e-07	2.35658809348442e-07	1.06214963645982e-07	-2.97368006308758	-0.0128467561399948	2	2.375
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15337800207386	2.172791	0.0480526760188634	0	0	0.0244946810227992	0.999999966306349	0.985320259971217	0.570375362755017	0.401005111211376	1.50713785034121	-27.2237489948411	7.50722985640674	2.20973683165131	17.5124890346892	1.34251865640988	-2.88376065626131	6958.88619397643	3.84253973407625	37.8095788372951	1.5776018397625	4.23033355934829	0.62637461259325	3.52233635581312	0.180262020409343	73.749112153932	21415.7618224009	1.25800100202354	3680.22281876937	342.934942780379	23.3472899141509	0.000733909831127632	0.971182016195553	0	0	0	0.000185286104938341	0.0168659108424389	0.00219091809570854	0	0.00299168326498202	0.00113488028833722	0.736252174448473	0.238180066459674	0	0	0	0.00441690596459246	0.00129394060739513	0.0118418442675799	0	0.00264609707842455	0.00101412147503623	59.2071235916414	76.7752385942595	96.3202909766643	116.125775105106	135.232158953853	2.21216447908859e-05	3.47409377744856e-06	7.7489320685323e-07	2.26106354539325e-07	1.00465058696582e-07	-3.1343572946469	-0.0126993682162515	2	2.40625
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15351405075683	2.172791	0.0433120721004846	0	0	0.023131073793035	0.999999967649328	0.985167485607567	0.570355758899053	0.401024799748169	1.50018043227419	-26.8232098776335	7.51336976707855	2.24352146776535	17.5522280185682	1.3430230185003	-2.82643638643622	7026.84268039975	3.84676023049764	38.8300315485375	1.5891677434008	4.2045214415698	0.623716571569613	3.5276524378604	0.180262020409343	73.7666680813756	21246.5122055469	1.25715748361063	3443.92339773636	345.475753652815	23.5332743164059	0.000498140187204041	0.971418629752834	0	0	0	0.000188953221996212	0.0168632616294551	0.00218905627827748	0	0.00299168326498174	0.00113488028833711	0.736252174448473	0.238180066459674	0	0	0	0.00441690596459246	0.00129394060739513	0.0118418442675799	0	0.00264609707842455	0.00101412147503623	59.7959533886645	77.51208578377	97.2544582446451	117.272288413002	136.565782780939	2.16286754720603e-05	3.38443338954246e-06	7.52912872640075e-07	2.1803100236993e-07	9.57644848452233e-08	-3.30264842036974	-0.0125935719343514	2	2.4375
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15360267624109	2.172791	0.0383662488276908	0	0	0.021646817977543	0.999999968566492	0.985048896018843	0.57034328726046	0.401037334544964	1.49343499828303	-26.5153265478519	7.51796179762627	2.27498828754862	17.5881503971603	1.34333986862836	-2.76891529113317	7077.6415822942	3.84988856582154	39.6411173400479	1.59814588718	4.18744362091527	0.621948972811415	3.53118763537679	0.180262020409343	73.7022814443209	21135.7499674909	1.25644530326769	3222.68849845521	347.047246294	23.6566008194199	0.000349940669508895	0.971567456020571	0	0	0	0.000191810790976081	0.0168609812187985	0.00218785236991184	0	0.00299168326498174	0.00113488028833711	0.736252174448473	0.238180066459674	0	0	0	0.00441690596459246	0.00129394060739513	0.0118418442675799	0	0.00264609707842455	0.00101412147503623	60.1915891365987	78.0070786688944	97.883078986544	118.044902366311	137.465230036134	2.1258125307336e-05	3.31848819397712e-06	7.36876458169374e-07	2.12234060917213e-07	9.24782562069864e-08	-3.45600558161855	-0.0125270409103361	2	2.46875
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15367081319901	2.172791	0.0325186217288383	0	0	0.0198549422086355	0.999999969276998	0.984989387371743	0.570333905193787	0.401046768551168	1.48793224417506	-26.2651334623531	7.52149392969025	2.30835036516941	17.6249208067451	1.34357414652142	-2.70305404887262	7119.45353687543	3.85244666006558	40.3342866155372	1.60567438006724	4.17442853796582	0.620597030766953	3.53389151946572	0.180262020409343	73.6140213416207	21051.8469982588	1.25580163320528	2981.26315311956	348.187711602023	23.7508851380762	0.000240323001583037	0.971677612222422	0	0	0	0.000194358465431785	0.0168588063825386	0.00218694099779178	0	0.00299168326498174	0.00113488028833711	0.736252174448473	0.238180066459674	0	0	0	0.00441690596459246	0.00129394060739513	0.0118418442675799	0	0.00264609707842455	0.00101412147503623	60.4962615822024	78.3881505215234	98.3675408471734	118.640848679361	138.159302646452	2.09540272544863e-05	3.26503415541416e-06	7.23942430752871e-07	2.07605836514916e-07	8.98981214268907e-08	-3.61920466039659	-0.0124778034451867	2	2.5
20058	2.172791	0.275645	0.028545	1.051926	1	1	0	0.02	0.02	0	0	1.15371325513523	2.172791	0.027696104230189	0	0	0.0184017964081792	0.999999969679855	0.985019706370479	0.570328124864158	0.401052581603172	1.48846911736279	-26.1251052467046	7.52323647743771	2.33560975591027	17.6538322431176	1.34371132226198	-2.64507143879235	7145.39869900007	3.85402646656923	40.7677538853038	1.61031678449386	4.16637752655012	0.619758619972971	3.53556834105368	0.180262020409343	73.559699167546	20999.867138413	1.25537477719817	2786.04151098202	348.899508837061	23.8096744471968	0.000176153619767538	0.971742126495407	0	0	0	0.000196020694366909	0.0168573420865462	0.0021863981736791	0	0.00299168326498174	0.00113488028833711	0.736252174448473	0.238180066459674	0	0	0	0.00441690596459246	0.00129394060739513	0.0118418442675799	0	0.00264609707842455	0.00101412147503623	60.6858296037998	78.6251968491715	98.668863171313	119.011577567094	138.591313361256	2.07693354556387e-05	3.23264240350992e-06	7.16149956776515e-07	2.04835809547468e-07	8.83606866023109e-08	-3.75410842810627	-0.0124489695373965	2	2.53125
